modality,method_family,study_count
url,SHAP,19
url,LIME,15
url,Attention,2
url,LLM-NL,2
url,CAM-family,0
url,Counterfactual,0
url,Other,4
email,SHAP,10
email,LIME,15
email,Attention,4
email,LLM-NL,2
email,CAM-family,2
email,Counterfactual,0
email,Other,2
url/website,SHAP,11
url/website,LIME,6
url/website,Attention,1
url/website,LLM-NL,1
url/website,CAM-family,0
url/website,Counterfactual,1
url/website,Other,1
website,SHAP,10
website,LIME,4
website,Attention,0
website,LLM-NL,0
website,CAM-family,0
website,Counterfactual,0
website,Other,0
multimodal,SHAP,6
multimodal,LIME,5
multimodal,Attention,2
multimodal,LLM-NL,3
multimodal,CAM-family,2
multimodal,Counterfactual,0
multimodal,Other,2
visual,SHAP,0
visual,LIME,1
visual,Attention,0
visual,LLM-NL,1
visual,CAM-family,2
visual,Counterfactual,1
visual,Other,1
qr/quishing,SHAP,1
qr/quishing,LIME,0
qr/quishing,Attention,0
qr/quishing,LLM-NL,0
qr/quishing,CAM-family,0
qr/quishing,Counterfactual,0
qr/quishing,Other,1
sms/smishing,SHAP,1
sms/smishing,LIME,0
sms/smishing,Attention,0
sms/smishing,LLM-NL,0
sms/smishing,CAM-family,0
sms/smishing,Counterfactual,0
sms/smishing,Other,0
